GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
termProject,edu.brown.cs.student.termProject,Main.FrontHandler,12,0,0,0,2,0,1,0,1,0
termProject,edu.brown.cs.student.termProject,Constants,3,0,0,0,1,0,1,0,1,0
termProject,edu.brown.cs.student.termProject,Restaurant,74,38,0,0,23,13,16,2,16,2
termProject,edu.brown.cs.student.termProject,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
termProject,edu.brown.cs.student.termProject,Main,143,0,6,0,39,0,10,0,7,0
termProject,edu.brown.cs.student.termProject,Main.Test,3,0,0,0,2,0,1,0,1,0
termProject,edu.brown.cs.student.termProject,Main.RouteHandler,301,0,14,0,55,0,8,0,1,0
termProject,database,BoundingBox,42,315,4,22,9,61,5,13,1,4
termProject,database,Database,12,33,1,1,4,12,2,3,1,3
termProject,attractions,Park,77,35,0,0,24,12,17,1,17,1
termProject,attractions,Museum,112,0,0,0,36,0,18,0,18,0
termProject,attractions,Shop,112,0,0,0,36,0,18,0,18,0
termProject,graph,Dijkstra,416,0,28,0,78,0,19,0,5,0
termProject,graph,Dijkstra.new Comparator() {...},88,0,4,0,10,0,4,0,2,0
termProject,graph,Dijkstra.new Comparator() {...},76,0,4,0,8,0,4,0,2,0
termProject,graph,AttractionsComparator,47,0,4,0,7,0,4,0,2,0
